doc_id	annotator	Key Information CC	Key Information DS	Medical Entities Completeness	Structure - Headers	Structure - Content	Content Accuracy	Made-up Content	Coherence	Overall Quality	Feedback
27198691	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	5	5	5	False	5	The only thing I wanted to comment on is the diagnosis at the beginning of the DS. I think it would be more appropriate: Complications of the percutaneuos LAA oclusiob for permanent atrial fibrilation 
29399767	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	5	4	4	False	4	The final section Discharge instructions has been invented.
29877258	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'sex', 'age', 'past medical conditions', 'social determinants of health']	4	5	5	3	1	False	3	There are missing data of some clinical procedures that are important for the report. data of echocardio and analytics ( BNP levels). The final sections: Medications at Discharge and  recomendations have been invented.
29899452_1	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'social determinants of health', 'past medical conditions']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'sex', 'age', 'social determinants of health', 'clinical procedures']	4	3	3	3	2	False	2	"DS has confused the diagnoses with the medical history.
DS has not set the dosage of the medication BYL719 at 250 mg.( missing: per day) thats it's relevant to this case.  Also the complete duration of treatment is missing ( 18 months) .
DS added the follow-up section "
30170386	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'clinical procedures', 'sex', 'age', 'past medical conditions']	['symptoms, signs and clinical findings', 'sex', 'age', 'clinical procedures', 'past medical conditions', 'diseases and co-morbidities']	5	4	5	4	4	False	2	"Diagnosis:** Cutaneous Sarcoidosis (CS).  This is not the diagnosis, it would be  heart failure with AV-block or maybe CS in this case means Cardiac Sarcoidosis 
**FDG-PET Imaging:** Demonstrated high uptake in the basal-anterior wall, supporting the diagnosis of CS. DS  assumes that the diagnosis has been reached with PET when the CC indicates that it has been reached with all the tests performed."
30567249	Laura	['diseases and co-morbidities', 'clinical procedures', 'sex', 'age']	['sex', 'age', 'clinical procedures', 'diseases and co-morbidities']	5	4	5	5	4	False	3	The recommendations in DS are out place because the patient is deceased.
30633184	Laura	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	['symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'clinical procedures', 'sex', 'age', 'past medical conditions', 'social determinants of health']	5	5	5	5	5	False	4	"**Chief Complaint:** usually this section is named "" motive of consultation""
There are two sections of follow-up and the discharge medication at the end of the DS corresponds to the first discharge not to the second"
30700635	Laura	['clinical procedures', 'sex', 'age']	['clinical procedures', 'sex', 'age']	5	5	5	5	4	False	4	It made up the final section  of follow-up 
30971480_1	Laura	['clinical procedures', 'sex', 'age', 'symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'past medical conditions']	['clinical procedures', 'sex', 'age', 'past medical conditions', 'medications', 'diseases and co-morbidities', 'symptoms, signs and clinical findings']	5	5	5	5	4	False	4	It made up the  **Discharge Condition:** and **Plan:**
31056078	Laura	['clinical procedures', 'sex', 'age', 'symptoms, signs and clinical findings', 'diseases and co-morbidities', 'medications', 'past medical conditions', 'social determinants of health']	['sex', 'age', 'past medical conditions', 'medications', 'diseases and co-morbidities']	2	2	1	3	4	False	2	"In the DS is missing some information about father and brother's disease and her occupacional history. Missing information about symptoms before timeline. 
missing information in diagnostic testing and laboratory results. In overall, there is important information that is not reflected in the DS."
